idiom_word_count,literal_word_count,idiom_phrase,literal_phrase,figurative_meaning,literal_meaning
3,3,down the drain,down the stairs,wasted,down along the stairs
3,3,down the hatch,down the chute,swallowed as a drink,down through the chute
3,3,down the line,down the hallway,later or throughout,farther along the hallway
3,3,drag your feet,drag your suitcase,delay deliberately,pull your suitcase
3,3,draw a blank,draw a square,fail to remember,sketch a square
3,3,draw first blood,draw first card,gain the first advantage,pull the first card
3,3,dress to kill,dress to travel,dress impressively,put on clothes for travel
3,3,drive a wedge,drive a car,create division,operate a car
3,3,drive someone crazy,drive someone home,annoy intensely,take someone home by car
3,3,drop a bombshell,drop a package,reveal shocking news,let a package fall
3,3,drop a line,drop a coin,send a short message,let a coin fall
3,3,eat humble pie,eat apple pie,admit humiliation,consume apple pie
3,3,escape the noose,escape the room,avoid serious punishment,leave the room
3,3,even the score,even the surface,retaliate or equalize,make the surface level
3,3,fall for it,fall for nothing,be deceived,fall because of nothing
3,3,fall from grace,fall from ladder,lose status or favor,drop from a ladder
3,3,fall into place,fall into water,become clear or organized,drop into water
3,3,fan the flames,fan the smoke,intensify conflict,move air onto flames
3,3,feather your nest,feather your pillow,enrich yourself selfishly,put feathers in your pillow
3,3,feel the pinch,feel the fabric,experience financial pressure,touch the fabric
3,3,find your voice,find your wallet,gain confidence expressing yourself,locate your wallet
3,3,fish for compliments,fish for trout,seek praise indirectly,try to catch trout
3,3,fly by night,fly by day,unreliable or shady,travel by air at night
3,3,fly the coop,fly the kite,leave suddenly,send the kite into air
3,3,follow your nose,follow your guide,use instinct,walk behind your guide
3,3,foot the bill,foot the ladder,pay the cost,kick the ladder with a foot
3,3,force the issue,force the door,make a decision unavoidable,push the door open
3,3,for good measure,for good students,as an extra addition,intended for good students
3,3,for my money,for my wallet,in my opinion,intended for my wallet
3,3,for the chop,for the chef,likely to be dismissed or cut,intended for the chef
3,3,get a life,get a ticket,stop being boring or intrusive,obtain a ticket
3,3,get in line,get in car,conform or wait your turn,enter a car
3,3,get into gear,get into bed,start working effectively,climb into bed
3,3,get the axe,get the shovel,be dismissed,obtain the shovel
3,3,get the boot,get the shoe,be dismissed or expelled,receive the shoe
3,3,get the drift,get the broom,understand the general meaning,obtain the broom
3,3,get the hump,get the backpack,become annoyed,receive the backpack
3,3,get the message,get the letter,understand the implication,receive the letter
3,3,get the nod,get the signal,receive approval,receive the signal
3,3,get the picture,get the photo,understand,receive the photo
3,3,get wind of,get wind outside,learn about secretly,encounter moving air
3,3,get your bearings,get your compass,orient yourself,retrieve your compass
3,3,give a hand,give a flower,help,hand someone a flower
3,3,give and take,give and receive,mutual compromise,hand over and receive
3,3,give free rein,give free tickets,allow freedom,provide free tickets
3,3,give no quarter,give no coins,show no mercy,give no coins
3,3,give short shrift,give short answer,dismiss with little attention,provide a brief answer
3,3,give someone hell,give someone tea,scold or harass someone,serve someone tea
3,3,give the boot,give the shoe,dismiss someone,hand over the shoe
3,3,go belly up,go belly down,fail or go bankrupt,turn stomach upward
3,3,go down swinging,go down stairs,fail while still fighting,descend the stairs
3,3,go for broke,go for coffee,risk everything,leave for coffee
3,3,go pear shaped,go pear picking,go wrong,go to pick pears
3,3,go the distance,go the mile,persist to the end,travel the mile
3,3,go to pot,go to market,deteriorate,travel to market
3,3,go to seed,go to garden,decline through neglect,move to a garden
3,3,go to town,go to school,act with great energy,travel to school
3,3,go whole hog,go whole route,do something completely,travel the entire route
3,3,good as gold,good as promised,well behaved,as good as promised
3,3,grit your teeth,grit your path,endure hardship,spread grit on your path
3,3,hackles are up,hackles are wet,defensiveness or anger is rising,animal hairs are wet
3,3,hale and hearty,hale and healthy,healthy and strong,healthy and robust
3,3,half the battle,half the cake,a major part of the task,half of a cake
3,3,have a ball,have a ticket,enjoy yourself,possess a ticket
3,3,have a cow,have a calf,become very upset,own a calf
3,3,have a heart,have a necklace,show compassion,possess a necklace
3,3,have designs on,have designs printed,want to possess or influence,have patterns printed
3,3,have green fingers,have green gloves,be good at gardening,wear green gloves
3,3,have itchy feet,have itchy hands,want to travel,hands feel itchy
3,3,have second thoughts,have second servings,begin to doubt,receive more servings
3,3,have the edge,have the corner,possess an advantage,possess the corner
3,3,have the floor,have the microphone,have permission to speak,hold the microphone
3,3,heart of gold,heart of metal,a generous nature,a heart made of metal
3,3,heart to heart,heart to lungs,an honest private talk,heart next to lungs
3,3,high and dry,high and dusty,stranded without help,elevated and dry
3,3,high and mighty,high and tall,arrogantly superior,located high and tall
3,3,hit a snag,hit a nail,encounter a problem,strike a nail
3,3,hit pay dirt,hit wet soil,make a valuable discovery,strike wet soil
3,3,hit rock bottom,hit hard stone,reach the lowest point,strike hard stone
3,3,hit the jackpot,hit the button,achieve great success,press the button
3,3,hit the skids,hit the brakes,decline rapidly,strike the brakes
3,3,hit the wall,hit the fence,reach exhaustion or blockage,strike the fence
3,3,hold the fort,hold the ladder,maintain responsibility temporarily,grip the ladder
3,3,hold the line,hold the rope,maintain a position,grip the rope
3,3,hold the reins,hold the straps,keep control,grip the straps
3,3,in a bind,in a box,in a difficult situation,inside a box
3,3,in a flash,in a second,very quickly,within one second
3,3,in a fog,in a mist,confused,inside a mist
3,3,in a heartbeat,in a minute,immediately and gladly,within one minute
3,3,in a jam,in a jar,in trouble,inside a jar
3,3,in a pickle,in a bowl,in a difficult situation,inside a bowl
3,3,in a rut,in a ditch,stuck in routine,inside a ditch
3,3,in a snap,in a click,very quickly,within a click
3,3,in cold blood,in cold water,deliberately and cruelly,inside cold water
3,3,in deep water,in deep snow,in serious trouble,inside deep snow
3,3,in dire straits,in narrow straits,in severe trouble,in narrow sea channels
3,3,in full cry,in full voice,actively pursuing something,using full voice
3,3,in full swing,in full motion,fully active,moving fully
3,3,in good hands,in good boxes,well cared for,inside sturdy boxes
3,3,in good spirits,in good company,cheerful,in pleasant company
3,3,in high spirits,in high places,very cheerful,in elevated places
3,3,in one piece,in one box,safe and undamaged,inside a single box
3,3,in seventh heaven,in seventh row,extremely happy,located in the seventh row
3,3,in the altogether,in the hallway,naked,inside the hallway
3,3,in the balance,in the basket,uncertain,inside the basket
3,3,in the black,in the shadow,profitable,inside the shadow
3,3,in the cards,in the envelope,likely to happen,inside the envelope
3,3,in the clear,in the meadow,free from danger or blame,inside an open meadow
